Approximate vocal-track candidates from CLAP text/audio contrast
Database: C:\db\abstracted.sqlite
Tracks with CLAP embeddings: 61355
Threshold: top 5% score >= -0.033566
Selected: 3068
Score = max(vocal prompt similarity) - max(instrumental prompt similarity)

score	id	title	maest_top_labels	path
0.270435	1275	BMTH - Antivist	Metalcore, Hardcore, Melodic Hardcore	M:/Volumes/Abstracted/00001-10000/BMTH - Antivist.wav
0.246292	33504	Cobra Edits - OUPS	Krautrock, Avantgarde, African	M:/Volumes/Abstracted/30001-40000/COBRA007 - OUPS.aiff
0.223282	22218	Damian lazarus & the ancient moons Lovers' Eyes Mohe Pi Ki Najariya	Tech House, Deep House, House	M:/Volumes/Abstracted/20001-30000/Damian lazarus & the ancient moons Lovers' Eyes Mohe Pi Ki Najariya.wav
0.213779	13013	Duran Duran - INVISIBLE	Synth-pop, New Wave, Electro	M:/Volumes/Abstracted/10001-20000/Duran Duran - INVISIBLE.flac
0.212805	28486	Symbol - Ссора	Darkwave, Goth Rock, Industrial	M:/Volumes/Abstracted/20001-30000/Symbol - Ссора (Original Mix).wav
0.204898	11406	BMTH - Can You Feel My Heart	Metalcore, Alternative Rock, Post-Hardcore	M:/Volumes/Abstracted/10001-20000/BMTH - Can You Feel My Heart.wav
0.196541	35490	Instinct (UK) - Badman	Drum n Bass, Jungle, Breakbeat	M:/Volumes/Abstracted/30001-40000/Instinct (UK) - Badman.flac
0.194448	60184	Balad feat. Murray James - The Hours	Acoustic, Alternative Rock, Emo	M:/Volumes/Avantgarde/MP3/Various Artists - THE HOURS [2019]/04 - Balad feat. Murray James - The Hours.mp3
0.194416	55384	Damian Lazarus & The Ancient Moons - Feedback Loop (Edit)	Downtempo, Synth-pop, Drum n Bass	M:/Volumes/Avantgarde/MP3/Various Artists - FEEDBACK LOOP [2018]/01 - Damian Lazarus & The Ancient Moons - Feedback Loop (Edit).mp3
0.193117	50367	Queemose - Quanta gente porti?	Conscious, House, Hip Hop	M:/Volumes/Avantgarde/MP3/Queemose - QUANTA GENTE PORTI [2019]/03 - Queemose - Quanta gente porti .mp3
0.191440	31139	Luminescu - Hameçon, Âme Saoule (feat. Blasfemme)	Experimental, Downtempo, Ambient	M:/Volumes/Abstracted/30001-40000/05. Luminescu - Hameçon, Âme Saoule (feat. Blasfemme).flac
0.184882	54998	Frustration - Dying City	Indie Rock, Alternative Rock, Electro	M:/Volumes/Avantgarde/MP3/Various Artists - DYING CITIES REMIX [2018]/03 - Frustration - Dying City.mp3
0.178000	15808	Nann - Message From The Creator	Experimental, Industrial, Hip Hop	M:/Volumes/Abstracted/10001-20000/Message To The Creator.flac
0.177751	31605	Rockers Hi-Fi - Going Under (Evil Love And Insanity Dub)	Downtempo, Trip Hop, Experimental	M:/Volumes/Abstracted/30001-40000/20 Rocker's HIFI Kruder & Dorfmeister The K&D Sessions TM Going.wav
0.169955	43887	Leon Vynehall - In>Pin	Experimental, Ambient, Abstract	M:/Volumes/Albums/Leon Vynehall - Rare, Forever (Ninja Tune).FLAC/02-Leon Vynehall - InPin.flac
0.169802	60363	Fiberroot - Con Licencia Sibonei (feat. Nestor Isaak)	Ambient, Tribal, Industrial	M:/Volumes/Avantgarde/MP3/Various Artists - TIERRA [2018]/03 - Fiberroot - Con Licencia Sibonei (feat. Nestor Isaak).mp3
0.163459	34897	French Montana, Kodak Black - Lockjaw	Trap, Pop Rap, Thug Rap	M:/Volumes/Abstracted/30001-40000/French Montana, Kodak Black - Lockjaw.flac
